contractSymbol,lastTradeDate,strike,price,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Date,delta,yield_to_strike,Premium,ROC,RSI,Momentum,IV_percentile,NearEarnings,label
NVDA250404C00132000,2025-03-28 19:52:08+00:00,132.0,0.04,0.03,0.04,-0.02,-33.333336,1492.0,9672,0.6289099609375001,False,REGULAR,USD,CALL,2025-03-30,0.3,1.5151515151515153e-05,0.04,0.00030303030303030303,50,0.0,0.6289099609375001,0,0
NVDA250404C00133000,2025-03-28 19:38:12+00:00,133.0,0.03,0.03,0.04,-0.03,-50.0,584.0,5661,0.648441015625,False,REGULAR,USD,CALL,2025-03-30,0.3,1.1278195488721805e-05,0.03,0.0002255639097744361,50,0.0,0.648441015625,0,0
NVDA250404C00134000,2025-03-28 19:59:18+00:00,134.0,0.03,0.03,0.04,-0.020000001,-40.000004,1496.0,3746,0.6718782812500002,False,REGULAR,USD,CALL,2025-03-30,0.3,1.119402985074627e-05,0.03,0.00022388059701492538,50,0.0,0.6718782812500002,0,0
NVDA250404C00135000,2025-03-28 19:54:50+00:00,135.0,0.02,0.02,0.03,-0.02,-50.0,3725.0,12283,0.6640658593750002,False,REGULAR,USD,CALL,2025-03-30,0.3,7.4074074074074075e-06,0.02,0.00014814814814814815,50,0.0,0.6640658593750002,0,0
NVDA250404C00136000,2025-03-28 18:49:53+00:00,136.0,0.02,0.02,0.03,-0.01,-33.333336,198.0,2678,0.6875031250000001,False,REGULAR,USD,CALL,2025-03-30,0.3,7.352941176470589e-06,0.02,0.00014705882352941178,50,0.0,0.6875031250000001,0,0
NVDA250404C00137000,2025-03-28 19:57:53+00:00,137.0,0.02,0.01,0.03,-0.01,-33.333336,1030.0,4167,0.6875031250000001,False,REGULAR,USD,CALL,2025-03-30,0.3,7.299270072992702e-06,0.02,0.00014598540145985403,50,0.0,0.6875031250000001,0,0
NVDA250404C00138000,2025-03-28 19:58:05+00:00,138.0,0.02,0.01,0.02,-0.01,-33.333336,745.0,3289,0.6875031250000001,False,REGULAR,USD,CALL,2025-03-30,0.3,7.246376811594203e-06,0.02,0.00014492753623188405,50,0.0,0.6875031250000001,0,0
NVDA250404C00139000,2025-03-28 19:41:20+00:00,139.0,0.02,0.01,0.02,-0.02,-50.0,214.0,8741,0.70312796875,False,REGULAR,USD,CALL,2025-03-30,0.3,7.194244604316547e-06,0.02,0.00014388489208633093,50,0.0,0.70312796875,0,0
NVDA250404C00140000,2025-03-28 19:54:50+00:00,140.0,0.02,0.01,0.02,0.0,0.0,2235.0,18436,0.7187528125,False,REGULAR,USD,CALL,2025-03-30,0.3,7.1428571428571436e-06,0.02,0.00014285714285714287,50,0.0,0.7187528125,0,0
NVDA250404C00141000,2025-03-28 17:47:09+00:00,141.0,0.02,0.01,0.02,-0.01,-33.333336,158.0,5615,0.7421900781249999,False,REGULAR,USD,CALL,2025-03-30,0.3,7.092198581560284e-06,0.02,0.00014184397163120567,50,0.0,0.7421900781249999,0,0
